;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;DATA  SERVICE AC 2026;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PT DHARMA POLIMETAL Tbk;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
83;R. OFFICE ENG 4W;GD005;SPLITE;1 PK;;;;;;;;;v;;;;;;;;;;;;;;;;;;;;;;
84;DESIGN ENG 4W;GD006;SPLITE;1 PK;;;;;;;;;v;;;;;;;;;;;;;;;;;;;;;;
85;PP MEMBER ENG 4W;GD007;SPLITE;1 PK;;;;;;;;;v;;;;;;;;;;;;;;;;;;;;;;
86;R. ENG 4W;GD011;SPLITE;1,5 PK;;;;;;;;;v;;;;;;;;;;;;;;;;;;;;;;
87;R. ENG 4W;GD012;SPLITE;2 PK;;;;;;;;;v;;;;;;;;;;;;;;;;;;;;;;
88;R. ENG 4W;GD013;SPLITE;1 PK;;;;;;;;;v;;;;;;;;;;;;;;;;;;;;;;
89;R. ENG 4W;GD014;SPLITE;2 PK;;;;;;;;;v;;;;;;;;;;;;;;;;;;;;;;
90;R. PE FAST;GD015;SPLITE;2 PK;;;;;;;;;v;;;;;;;;;;;;;;;;;;;;;;
91;R. OFFICE FAST DOKING;GD017;SPLITE;2 PK;;;;;;;;;;;;;;v;;;;;;;;;;;;;;;;;
92;R. OFFICE FAST DOKING;GD018;SPLITE;1 PK;;;;;;;;;;;;;;v;;;;;;;;;;;;;;;;;
93;R. OFFICE FAST DOKING;GD019;SPLITE;1 PK;;;;;;;;;;;;;;v;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NO;RUANGAN / LOKASI;NO AC;JENIS;PK;BULAN JANUARI 2026;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31
94;R. OFFICE FAST DOKING;GD020;SPLITE;2 PK;;;;;;;;;;;;;;v;;;;;;;;;;;;;;;;;
95;R. PANEL CHILLER BATRE PAC;GD030;SPLITE;1 PK;;;;;;;;;;;;;;v;;;;;;;;;;;;;;;;;
96;PENDINGIN DUCTING HT 01;GD031;SPLITE;2 PK;;;;;;;;;;;;;;v;;;;;;;;;;;;;;;;;
97;R. OFFICE AZP;GE001;SPLITE;2 PK;;;;;;;v;;;;;;;;;;;;;;;;;;;;;;;;
98;R. OFFICE AZP;GE002;SPLITE;2 PK;;;;;;;v;;;;;;;;;;;;;;;;;;;;;;;;
99;PANEL AZP;GE003;SPLITE;2 PK;;;;;;;v;;;;;;;;;;;;;;;;;;;;;;;;
100;OFFICE LAB AZP;GE004;SPLITE;1 PK;;;;;;;v;;;;;;;;;;;;;;;;;;;;;;;;
